x1,x2,x3,x4,x5,x6,x7,x8
0,43,66,200,-1,-1,-1,-1
0,15,27,-1,-1,-1,-1,-1
0,16,68,74,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,9,41,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,27,59,200,-1,-1,-1,-1
0,80,94,139,-1,-1,-1,-1
0,69,99,131,163,-1,-1,-1
0,105,114,200,-1,-1,-1,-1
0,68,78,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,85,102,128,153,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,18,39,59,-1,-1,-1,-1
0,65,88,110,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,21,42,147,160,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,66,78,98,116,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,17,48,73,101,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,21,42,200,-1,-1,-1,-1
0,17,28,62,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,82,85,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,7,38,200,-1,-1,-1,-1
0,34,65,200,-1,-1,-1,-1
0,12,113,144,-1,-1,-1,-1
0,9,19,38,-1,-1,-1,-1
0,17,37,61,-1,-1,-1,-1
0,14,29,78,97,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,118,145,200,-1,-1,-1,-1
0,13,32,127,156,-1,-1,-1
0,40,90,133,168,-1,-1,-1
0,18,48,113,142,-1,-1,-1
0,35,115,124,-1,-1,-1,-1
0,25,51,72,81,-1,-1,-1
0,26,141,171,-1,-1,-1,-1
0,11,19,91,102,-1,-1,-1
0,37,200,-1,-1,-1,-1,-1
0,17,29,200,-1,-1,-1,-1
0,41,69,200,-1,-1,-1,-1
0,25,68,89,-1,-1,-1,-1
0,29,127,149,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,30,36,200,-1,-1,-1,-1
0,75,98,153,174,-1,-1,-1
0,53,88,111,135,-1,-1,-1
0,17,41,79,-1,-1,-1,-1
0,19,31,70,97,-1,-1,-1
0,120,158,175,183,-1,-1,-1
0,59,82,90,103,-1,-1,-1
0,95,107,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,78,131,142,-1,-1,-1,-1
0,73,82,87,-1,-1,-1,-1
0,94,127,-1,-1,-1,-1,-1
0,52,80,-1,-1,-1,-1,-1
0,25,44,52,81,-1,-1,-1
0,43,73,101,118,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,46,61,141,154,-1,-1,-1
0,18,28,40,-1,-1,-1,-1
0,16,40,54,-1,-1,-1,-1
0,63,85,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,22,200,-1,-1,-1,-1,-1
0,23,37,200,-1,-1,-1,-1
0,22,37,61,106,-1,-1,-1
0,72,108,163,185,-1,-1,-1
0,20,65,78,-1,-1,-1,-1
0,42,68,123,137,-1,-1,-1
0,26,52,-1,-1,-1,-1,-1
0,40,200,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,33,60,78,123,-1,-1,-1
0,21,57,112,131,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,67,98,136,-1,-1,-1,-1
0,37,56,-1,-1,-1,-1,-1
0,71,89,127,154,-1,-1,-1
0,40,57,59,84,-1,-1,-1
0,38,95,118,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,27,200,-1,-1,-1,-1,-1
0,22,57,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,14,37,132,158,-1,-1,-1
0,72,93,200,-1,-1,-1,-1
0,17,200,-1,-1,-1,-1,-1
0,35,60,75,98,-1,-1,-1
0,63,88,108,-1,-1,-1,-1
0,97,120,163,192,-1,-1,-1
0,14,31,200,-1,-1,-1,-1
0,21,43,59,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,90,123,-1,-1,-1,-1,-1
0,7,33,63,-1,-1,-1,-1
0,37,69,200,-1,-1,-1,-1
0,13,39,88,117,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,39,72,200,-1,-1,-1,-1
0,124,137,200,-1,-1,-1,-1
0,51,80,200,-1,-1,-1,-1
0,64,79,200,-1,-1,-1,-1
0,76,87,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,145,193,200,-1,-1,-1,-1
0,55,72,101,133,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,125,141,200,-1,-1,-1,-1
0,48,71,200,-1,-1,-1,-1
0,45,75,92,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,10,49,83,98,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,19,200,-1,-1,-1,-1,-1
0,40,72,153,177,-1,-1,-1
0,76,91,115,158,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,100,113,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,25,43,-1,-1,-1,-1,-1
0,21,57,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,18,31,200,-1,-1,-1,-1
0,60,86,145,158,-1,-1,-1
0,10,26,102,130,-1,-1,-1
0,42,72,185,197,-1,-1,-1
0,24,42,-1,-1,-1,-1,-1
0,17,29,83,109,-1,-1,-1
0,23,29,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,41,55,86,99,-1,-1,-1
0,53,76,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,44,58,76,101,-1,-1,-1
0,39,63,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,39,70,-1,-1,-1,-1,-1
0,33,64,200,-1,-1,-1,-1
0,44,71,78,96,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,53,69,161,186,-1,-1,-1
0,18,41,57,-1,-1,-1,-1
0,44,58,168,189,-1,-1,-1
0,95,117,200,-1,-1,-1,-1
0,17,200,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,94,112,200,-1,-1,-1,-1
0,126,166,200,-1,-1,-1,-1
0,34,46,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,59,67,200,-1,-1,-1,-1
0,20,40,92,109,-1,-1,-1
0,176,198,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,54,75,80,101,-1,-1,-1
0,25,45,70,-1,-1,-1,-1
0,31,48,-1,-1,-1,-1,-1
0,50,75,134,153,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,45,76,-1,-1,-1,-1,-1
0,66,94,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,26,74,86,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,86,100,200,-1,-1,-1,-1
0,25,63,90,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,31,200,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,96,131,200,-1,-1,-1,-1
0,46,73,-1,-1,-1,-1,-1
0,11,20,36,-1,-1,-1,-1
0,32,59,200,-1,-1,-1,-1
0,24,42,200,-1,-1,-1,-1
0,51,61,200,-1,-1,-1,-1
0,24,83,92,-1,-1,-1,-1
0,18,43,102,111,-1,-1,-1
0,80,98,129,153,-1,-1,-1
0,40,71,131,149,-1,-1,-1
0,41,62,200,-1,-1,-1,-1
0,60,76,114,-1,-1,-1,-1
0,15,30,40,-1,-1,-1,-1
0,39,61,-1,-1,-1,-1,-1
0,14,45,200,-1,-1,-1,-1
0,24,94,120,-1,-1,-1,-1
0,25,61,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,10,200,-1,-1,-1,-1,-1
0,24,100,115,-1,-1,-1,-1
0,101,126,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,45,63,-1,-1,-1,-1,-1
0,23,83,100,-1,-1,-1,-1
0,27,56,83,-1,-1,-1,-1
0,64,105,139,165,-1,-1,-1
0,40,62,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,20,33,200,-1,-1,-1,-1
0,27,38,60,-1,-1,-1,-1
0,44,63,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,23,40,80,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,41,48,200,-1,-1,-1,-1
0,41,61,128,137,-1,-1,-1
0,118,136,200,-1,-1,-1,-1
0,20,42,-1,-1,-1,-1,-1
0,50,66,86,96,-1,-1,-1
0,16,49,200,-1,-1,-1,-1
0,22,42,81,93,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,59,67,71,-1,-1,-1,-1
0,31,51,144,164,-1,-1,-1
0,79,101,126,-1,-1,-1,-1
0,3,45,80,106,-1,-1,-1
0,37,51,-1,-1,-1,-1,-1
0,82,101,122,151,-1,-1,-1
0,27,71,83,-1,-1,-1,-1
0,62,91,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,27,100,136,-1,-1,-1,-1
0,34,200,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,21,32,200,-1,-1,-1,-1
0,35,44,71,-1,-1,-1,-1
0,17,27,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,45,77,200,-1,-1,-1,-1
0,80,128,200,-1,-1,-1,-1
0,17,78,98,-1,-1,-1,-1
0,16,38,200,-1,-1,-1,-1
0,34,48,-1,-1,-1,-1,-1
0,24,58,200,-1,-1,-1,-1
0,61,81,200,-1,-1,-1,-1
0,32,81,111,137,-1,-1,-1
0,7,32,200,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,113,132,200,-1,-1,-1,-1
0,28,30,42,-1,-1,-1,-1
0,49,67,83,90,-1,-1,-1
0,25,61,132,152,-1,-1,-1
0,53,65,165,196,-1,-1,-1
0,110,132,162,-1,-1,-1,-1
0,18,33,92,110,-1,-1,-1
0,26,59,200,-1,-1,-1,-1
0,28,36,68,-1,-1,-1,-1
0,30,43,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
0,200,-1,-1,-1,-1,-1,-1
