"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
0,6,12,19,24,30,36,-10,-10,-10,-10,-10,-10,-10,-10
0,7,12,18,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,12,18,24,30,37,43,49,54,-10,-10,-10,-10,-10
0,6,15,18,25,30,37,49,49,-10,-10,-10,-10,-10,-10
0,6,13,19,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,12,18,25,30,36,43,69,-10,-10,-10,-10,-10,-10,-10
0,6,12,19,24,30,37,43,49,55,61,67,73,79,85
0,7,12,18,24,31,33,-10,-10,-10,-10,-10,-10,-10,-10
0,5,12,18,24,31,43,48,60,70,-10,-10,-10,-10,-10
0,6,12,18,118,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,13,19,24,30,37,43,50,54,61,67,71,-10,-10
0,6,12,17,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,7,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,13,18,24,30,36,43,50,55,60,61,-10,-10,-10
0,6,12,15,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,7,12,19,25,30,37,48,55,57,-10,-10,-10,-10,-10
0,6,12,18,24,30,38,42,56,65,-10,-10,-10,-10,-10
0,6,12,19,25,31,37,43,49,55,111,-10,-10,-10,-10
0,6,12,18,25,30,37,48,54,67,73,95,109,-10,-10
0,6,12,18,24,30,37,48,54,61,67,73,85,91,-10
0,6,12,18,25,27,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,12,17,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,12,18,24,31,36,42,48,54,61,64,-10,-10,-10
0,6,12,18,24,31,37,42,48,54,60,67,72,96,-10
0,6,12,18,24,30,37,49,55,-10,-10,-10,-10,-10,-10
0,6,12,18,25,31,37,43,-10,-10,-10,-10,-10,-10,-10
0,6,12,18,24,30,37,42,49,55,60,67,79,-10,-10
0,6,12,19,24,36,44,48,55,65,-10,-10,-10,-10,-10
0,6,12,18,24,31,42,48,55,61,67,73,-10,-10,-10
0,6,12,19,24,30,37,43,-10,-10,-10,-10,-10,-10,-10
0,6,12,18,26,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0,6,12,19,25,30,37,42,49,54,61,67,82,101,-10
0,6,12,18,24,31,36,45,-10,-10,-10,-10,-10,-10,-10
