"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
1,1,2,2,2,3,4,-10,-10,-10,-10,-10,-10,-10,-10
1,1,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,2,3,3,4,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,3,4,-10,-10,-10,-10,-10,-10
1,1,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,2,4,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
1,1,1,1,2,2,4,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,2,4,-10,-10,-10,-10,-10
1,1,2,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,2,2,2,3,3,3,3,3,4,-10,-10
1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,2,2,2,3,3,4,-10,-10,-10
1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,2,3,3,3,3,4,-10,-10,-10,-10,-10
1,1,1,1,1,1,2,2,3,4,-10,-10,-10,-10,-10
1,1,1,1,2,2,2,3,3,3,4,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,1,2,-10,-10
1,1,1,1,1,1,1,1,1,1,1,1,1,4,-10
1,1,1,2,2,4,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,4,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10
1,1,1,1,1,1,1,1,1,-10,-10,-10,-10,-10,-10
1,1,1,1,1,2,1,4,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,1,1,-10,-10
1,1,1,1,1,2,2,2,2,4,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,1,1,-10,-10,-10
1,1,1,1,2,2,3,3,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,3,3,3,3,3,3,1,4,-10
1,1,1,1,1,1,1,4,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,-10,-10,-10,-10,-10,-10,-10
1,1,2,2,2,4,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,2,2,2,3,3,4,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,2,2,3,3,4,-10,-10,-10,-10,-10,-10,-10
1,1,3,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,2,3,2,2,2,2,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,4,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,2,2,2,4,-10,-10,-10,-10
1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,4,-10,-10,-10,-10,-10
1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,2,1,1,2,2,3,4,-10,-10,-10,-10,-10
1,1,1,2,3,3,3,-10,-10,-10,-10,-10,-10,-10,-10
1,1,2,2,2,1,1,1,1,1,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,4,-10,-10,-10,-10,-10,-10
1,1,1,2,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,2,2,2,3,3,3,4,-10,-10,-10,-10,-10
1,2,2,3,3,3,3,3,3,4,-10,-10,-10,-10,-10
1,1,3,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,4,-10,-10,-10,-10,-10
1,1,1,1,1,3,1,3,4,-10,-10,-10,-10,-10,-10
1,1,2,2,2,2,2,2,3,2,-10,-10,-10,-10,-10
1,1,1,1,1,2,3,4,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,2,4,-10,-10,-10,-10,-10,-10
1,1,1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,3,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,3,4,-10,-10,-10,-10,-10
1,1,1,1,1,1,1,1,1,1,-10,-10,-10,-10,-10
1,2,2,1,2,2,2,2,2,2,4,-10,-10,-10,-10
